row_id,text,like_count,date
112,The same people are saying that these illegal immigrants are signing up for concealed carry permits and being asked to join MAGA rallies.   So the question is why is MAGA trying to arm all these illegal migrants into a MAGA army?,1,2024-06-12
113,@GrandpaDennisP Have another drink Gramps…THE BEST IS YET TO COME! Maga as Fuc#🇺🇸™️,0,2024-06-13
114,"@BiologicalWoma2 Nope, all my peeps are MAGA...",0,2024-06-12
115,@LambertNolen @JohnFugelsang @haymes_joshua It goes back even further but Regan went along with it. It was a key part of the Southern Strategy. It was a Faustian deal with the devil when the GOP got in bed with the Evangelicals and the Baptists. Magically making abortion a biblical sin out of thin air then politicizing it.,2,2024-06-12
116,"I’m so lonely on X no one talks to me 😞 Wait I got an idea 💡 I should get a hundred replies calling me a moron at the very least.

Joe Biden is the greatest president of all time. Join me in saving this country and voting for Joe, the only way to go! https://t.co/VjVmqMSY34",0,2024-06-12
117,@mkforreal @DRodbone @TheJasonPugh @jagmeetsing @PierrePoilievre The only people who voted for him are people who paid to become a member of the conservative party.,1,2024-06-12
118,"#BigLie2 #GOPfascism #FOP 
Trump wants us to send more money because he is enduring #PolticialPersecutionn #GOPeverythingaLie 
Rp
Why the Spineless, Craven, &amp; Sold-Out GOP Sides with Trump's Big Lie 2.0 https://t.co/5B6ddx1S4c",3,2024-06-12
119,"@PEdegen69 @Trumpsbagsmeme And we're only at 3M mc rn????? This is the most undervalued, and overlooked project right now. People will cry when this goes to billions. $BAGS 4 EVER @Trumpsbagsmeme @DustinStockton #MAGA",3,2024-06-12
120,@JoeBiden Maga prior under 2% inflation..ill take it,0,2024-06-12
121,"@RepMTG Blaming Biden for trump's mishandling of a pandemic which tanked our economy and killed 1 out of every 300 Americans is peak projection.

You know damn well if trump had been reelected we'd be worse off today than every other country on the planet.",5,2024-06-13
122,"@jmbenson1491 I'm here, but don't get near as many reposts and likes as I used to. Something's definitely up. I feel invisible most of the time. I think I pissed @SMHCS off. Whatever...",0,2024-06-12
123,"“Donald Trump makes absolutely no sense and there are no alarming headlines about this,” @DeeTwoCents 

Why is Trump, running for president? 

We’ve completely memory holed initial reason Trump was running for president: rich guy, vowing to NOT accept any campaign donations!!!",2,2024-06-12
124,"GOP Calls Out 51 Intel Officials Over Hunter Biden Laptop

https://t.co/sPCaqJZo8W",0,2024-06-13
125,"@BidenHQ Biden had 3 1/2 years to do something… ANYTHING! 
He DID NOTHING!",0,2024-06-12
126,You’re spreading misinformation. The Easter Egg Roll is no different than any other Easter at the White House. It just so happened that Easter occurred on the day that Trangender Visibilty Day is always celebrated on March 31. Biden didn’t forbid religious symbols either!,0,2024-06-12
127,"@nicksortor This isn’t humorous, the security of our nation is hanging on a thread, Biden needs to be home and taken care of.  So stupid to send him.",0,2024-06-13
128,"RNC West Palm Beach 
Tonight 6/12/2024
Sara Mcabee

https://t.co/NFPg90JOn5 https://t.co/iYpUJlAhAM",0,2024-06-12
129,@MAGAShaggy1 I would never EVER vote for Biden!!,1,2024-06-12
130,"@typocatCA During Pride Month
With having the most corrupt SCOTUS in history
With the GOP bring fascism to America
When women's rights are being erased
When people of colors rights are being erased
When LGBTQ+ have targets on their backs",10,2024-06-12
131,"@SarahAnnRhoades @chriswithans Why waste all of our campaign cash when you're still leading nationally and in basically all of the battleground states? Biden's brilliant ""Dark Brandon ad blitz"" didn't do shit, his approval is still in the dumps and his polling is just as dogshit as ever.",2,2024-06-13
132,"@jtfdenver @SenRonJohnson Hey Mensa ABC news

The laptop was real: DOJ confirms in new court filing it indeed belonged to Hunter Biden https://t.co/lAjrk4sCLC",1,2024-06-12
133,@BritCrampsie Every bad thing that happened to Biden he deserved. He is a fake lying piece of crap just like his grifter Brother and vile human being son Hunter.,0,2024-06-12
134,@SpeakerJohnson LOL  The GOP no longer has an understanding of our constitution or rule of law.  You are interfering in areas you do not belong in.  You are trying to harm everyone and do nothing that has to do with your elected job.,0,2024-06-12
135,"@KatyaSedgwick @SpencerKlavan I wouldn't know what could be defined conservative art though - art with a conservative message (thus, counterculture art, still playing into the same mechanism) or art whose aesthetic qualities recall past styles? It is often the latter, and while old styles cyclically come back",0,2024-06-12
136,#Biden has made are economy the best in the world after #Trump ballooned our deficit! Yes prices went higher because of supply chain issues and the pandemic! But now wages are rising bringing inflation down!,0,2024-06-12
